Date,logReturnGLD
2012-08-30,-0.0021062449646607924
2012-08-31,-0.0007443921077803867
2012-09-04,0.01826339464174437
2012-09-05,6.0896323461436056e-05
2012-09-06,0.0063168881283566436
2012-09-07,0.0156792923876452
2012-09-10,0.00041710319129173066
2012-09-11,0.0022615316631219447
2012-09-12,0.003678844744341659
2012-09-13,-0.005761656673859732
2012-09-14,0.023664890973021983
2012-09-17,-0.0006983355865041992
2012-09-18,-0.0056045799948341865
2012-09-19,0.006244772055803732
2012-09-20,-0.0049576141321841325
2012-09-21,0.011047873994350702
2012-09-24,-0.013389349016679764
2012-09-25,0.006600625617794799
2012-09-26,-0.013481172382138064
2012-09-27,0.009163580038885769
2012-09-28,0.005888342279122047
2012-10-01,0.004639589588458235
2012-10-02,-0.0020851498830474925
2012-10-03,0.0002318627204063506
